retailer,product_id,name,brand,size_raw,price,was_price,unit_price,unit_measure,is_on_special,result_rank,search_term,category,snapshot_date,fetched_at
coles,1985917,Devondale Butter Block Unsalted,Devondale,250g,5.8,,2.32,100g,False,22,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1565354,Lardass Salted Cultured Butter,Lardass,200g,10,,5,100g,False,23,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1565365,Lardass Unsalted Cultured Butter,Lardass,200g,10,,5,100g,False,24,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,6892100,Lurpak Butter Unsalted,Lurpak,400g,8.5,10,2.13,100g,False,25,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1730188,Lurpak Butter Garlic,Lurpak,125g,4,,3.2,100g,False,26,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7033482,Geelong Dairy Butter Pat Salted,Geelong Dairy,250g,5.5,,2.2,100g,False,27,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3783775,Great Ocean Road Pat Butter Unsalted,Great Ocean Road,250g,6.5,,2.6,100g,False,28,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,1154043,Lurpak Butter Slightly Salted,Lurpak,100g,3,,3,100g,False,29,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,46883,Coles Dairy Unsalted Butter Pat,Coles,250g,4.8,,1.92,100g,False,30,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,190100,Western Star Dairy Butter Unsalted Cultured,Western Star,250g,5.3,5.9,2.12,100g,False,31,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,6892143,Lurpak Butter Slightly Salted,Lurpak,400g,8.5,10,2.13,100g,False,32,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,3783764,Great Ocean Road Pat Butter Sea Salt,Great Ocean Road,250g,6.5,,2.6,100g,False,33,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7085089,Westgold Butter Infused Garlic & Parsley,Westgold,100g,2.8,,2.8,100g,False,34,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8076469,Coppertree Farms Salted Butter,Coppertree Farms,200g,7.5,,3.75,100g,False,35,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8076505,CopperTree Farms Unsalted Butter,CopperTree Farms,200g,7.5,,3.75,100g,False,36,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8072242,Lard Ass Salted Cultured Butter,Lard Ass,225g,10.5,,,100g,False,37,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8072082,Lard Ass Roasted Tomato Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,38,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8072162,Lard Ass Garlic & Herb Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,39,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8071953,Lard Ass Sweet Vanilla Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,40,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8070860,Lard Ass Smoked Garlic Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,41,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,7034180,Geelong Dairy Butter Pat Unsalted,Geelong Dairy,250g,5.5,,2.2,100g,False,42,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8072005,Lard Ass Black Garlic Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,43,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8071590,Lard Ass Smoked Salted Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,44,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,5017496,Devondale Dairy Soft Salt Reduced Spreadable Butter,Devondale,500g,8,,1.6,100g,False,45,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,8071487,Lard Ass Roasted Fennel Seed Cultured Butter,Lard Ass,150g,10,,6.67,100g,False,46,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,93760,Western Star Chef's Choice Unsalted Cultured,Western Star,500g,9.5,,1.9,100g,False,47,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
coles,6854734,Mainland Butter Soft Salted Spreadable Butter,Mainland,375g,10.6,,2.83,100g,False,48,butter 500g,dairy,2026-09-01,2026-08-31T20:10:17.037905+00:00
woolworths,310237,Woolworths Tasty Cheese Block 500g,Woolworths,500g,6.8,6.8,13.6,1KG,False,1,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,310238,Woolworths Extra Tasty Cheese Block 500g,Woolworths,500g,6.8,6.8,13.6,1KG,False,2,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,40471,Bega Tasty Cheese Block 500g,Bega,500g,11.2,11.2,22.4,1KG,False,3,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,32198,Mainland Tasty Cheese Block 500g,Mainland,500g,11.8,11.8,23.6,1KG,False,4,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,182060,Bega Protein Tasty Cheese Block 500g,Bega,500g,11.2,11.2,22.4,1KG,False,5,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,807870,Mainland Extra Tasty Cheese Block 500g,Mainland,500g,11.8,11.8,23.6,1KG,False,6,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,17280,Dairyworks Tasty Block 500g,Dairyworks,500g,7.5,7.5,15,1KG,False,7,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,57304,Bega Colby Cheese Block 500g,Bega,500g,11.2,11.2,22.4,1KG,False,8,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,769558,Bega Tasty Cheese Slices 500g,Bega,500g,11.8,11.8,23.6,1KG,False,9,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
woolworths,48443,Bega Cheese Block Strong & Bitey Vintage 500g,Bega,500g,11.2,11.2,22.4,1KG,False,10,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,472994,Mainland Tasty Cheese Block,Mainland,500g,10.5,11.8,21,1kg,False,1,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,189712,Bega Cheese Tasty Block,Bega,500g,10.2,11.2,20.4,1kg,False,2,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,293995,Coles Cheese Block Tasty,Coles,500g,7.7,,15.4,1kg,False,3,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,192411,Cheer Tasty Cheese Block,Cheer,1kg,14.95,,14.95,1kg,False,4,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,7648283,Cheer Tasty Cheese Block,Cheer,400g,9,,22.5,1kg,False,5,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,296712,Bega Cheese Tasty Block,Bega,250g,8,,32,1kg,False,6,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,166568,Bega Cheese Block Tasty,Bega,750g,14.4,,,1kg,False,7,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,294003,Coles Dairy Tasty Cheese Block,Coles,250g,6,,24,1kg,False,8,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,9182202,Great Ocean Road Extra Tasty Cheese Block,Great Ocean Road,500g,9.5,10.8,19,1kg,False,9,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,3308421,Mainland Extra Tasty Cheddar Cheese Block,Mainland,500g,10.5,11.8,21,1kg,False,10,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,287609,Coles Dairy Cheese Tasty,Coles,1kg,10.5,,10.5,1kg,False,11,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,3274148,Mainland Extra Tasty Cheese Block,Mainland,250g,7.5,,30,1kg,False,12,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,5432669,Coles Dairy Extra Tasty Cheese Block,Coles,250g,6,,24,1kg,False,13,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,447556,Norco Natural Cheese Block,Norco,500g,12,,24,1kg,False,14,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,2071305,Coles Simply Cheddar Cheese Block,Coles Simply,1Kg,9.3,,9.3,1kg,False,15,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
coles,7648465,Cheer Light & Tasty Cheese Block,Cheer,400g,9,,22.5,1kg,False,16,tasty cheese block 500g,dairy,2026-09-01,2026-08-31T20:10:18.918604+00:00
